politica
"Policy1, Obliged, UNIMETA, Marcos_Ponts,Gerar, Guia_de_Requisicao, 30/12/2017 08:14 PM, 28/07/2019 12:11 PM"
"Policy2, Obliged, UFAC, Carl_Sagan,Record, Portal_do_Aluno, 16/04/2017 04:09 PM, 11/01/2019 10:57 PM"
"Policy3, Permitted, Unidade_Administrativa, Outro_Usuario,Cancelamento, Documentos, 13/11/2017 12:56 AM, 19/01/2019 07:57 AM"
"Policy4, Obliged, UNIASSELVI, Secretario_e_Unidade_Administrativa,Criar, ProcessDispatch, 14/07/2017 10:22 PM, 26/01/2019 03:08 AM"
"Policy5, Obliged, UNIMETA, Vanessa_Lima,Calcular, Materiais, 14/02/2017 07:51 AM, 01/05/2019 01:45 AM"
"Policy6, Forbidden, Uninorte, Bilbo_Bolseiros,Solicitacao, Produtos, 08/06/2017 10:16 AM, 28/09/2019 05:08 AM"
"Policy7, Obliged, IFAC, Eliana_Maria_de_Souza,Calcular, Process, 28/09/2017 04:38 AM, 20/04/2019 04:15 PM"
"Policy8, Obliged, Unidade_Financeira, Secretarios,Efetivar, Process, 03/04/2017 06:41 PM, 19/03/2019 03:18 AM"
"Policy9, Forbidden, Unidade_Administrativa, Francisco_Mendes,Open, Notas, 23/08/2017 04:46 AM, 06/04/2019 11:09 AM"
"Policy10, Obliged, Unidade_Executiva, Tyrion Lanniester,Create, Produtos, 26/06/2017 03:20 PM, 21/04/2019 01:14 PM"
"Policy11, Permitted, CFET, Jorge_Jesus,Cancelamento, MatriculaAluno, 07/01/2017 05:53 PM, 22/01/2019 12:12 AM"
"Policy12, Permitted, Unidade_Executiva, Arwen_Undomiel,Abertura, Central_de_Copias, 29/07/2017 03:16 PM, 24/05/2019 11:04 PM"
"Policy13, Permitted, CCSJA, Daenerys_Targaryen,Close, Guia_de_Requisicao, 27/07/2017 12:05 AM, 29/09/2019 09:14 PM"
"Policy14, Permitted, UNIMETA, Vanessa_Lima,LancarMedia, ProcNURCADesp, 07/12/2017 09:39 PM, 05/01/2019 11:19 PM"
"Policy15, Obliged, CFET, PROTOCOLIZADOR3,SolicitacaoAbertura, BuildDispatch, 30/01/2017 11:30 PM, 08/08/2019 01:28 PM"
"Policy16, Obliged, FAMETA, Vanessa_Lima,Alterar, Almoxarifado, 29/11/2017 03:38 PM, 29/07/2019 01:28 PM"
"Policy17, Obliged, UNIMETA, Grupo_IPTU,Record, ProcNURCADesp, 10/03/2017 04:07 AM, 15/01/2019 05:58 PM"
"Policy18, Permitted, FAMETA, Ada_Lovelace,Nova, FGTS, 23/02/2017 05:06 PM, 29/12/2019 06:13 AM"
"Policy19, Obliged, IFAC, Grupo_IPTU,Solicitar, Materiais, 20/07/2017 10:15 PM, 19/07/2019 03:52 AM"
"Policy20, Permitted, Unidade_Gerencial, Cersei_Lannister,Create, Aluno, 12/10/2017 11:18 AM, 23/06/2019 05:44 AM"
"Policy21, Forbidden, Uninorte, Robb_Stark,Acessar, Materiais, 31/07/2017 05:52 PM, 04/05/2019 09:12 AM"
"Policy22, Forbidden, Unidade_Financeira, Ada_Lovelace,Acessar, BuildDispatch, 23/11/2017 11:51 PM, 04/03/2019 12:17 AM"
"Policy23, Obliged, Unidade_Gerencial, Janaina_Souza,Inserir, BuildDispatch, 04/01/2017 08:23 AM, 24/07/2019 02:07 AM"
"Policy24, Permitted, Unidade_Administrativa, Marcos_Ponts,Calcular, Biblioteca, 08/03/2017 07:09 PM, 15/08/2019 12:41 PM"
"Policy25, Permitted, FAAO, Francisco_Mendes,Open, Process, 27/10/2017 10:31 PM, 05/03/2019 02:32 PM"
"Policy26, Obliged, Unidade_Gerencial, Eliana_Maria_de_Souza,Requisitar, Central_de_Copias, 29/09/2017 09:38 PM, 26/12/2019 03:41 PM"
"Policy27, Permitted, Unidade_Financeira, Professor,Cadastrar, Biblioteca, 20/12/2017 01:50 PM, 30/07/2019 07:07 AM"
"Policy28, Permitted, IFAC, Eddard_Stark,Abertura, Documentos, 30/12/2017 03:20 PM, 18/05/2019 02:24 PM"
"Policy29, Forbidden, IFAC, Janaina_Souza,Inserir, Process, 15/07/2017 09:23 AM, 02/05/2019 05:26 AM"
"Policy30, Obliged, UFAC, Jaime_Lannister,Inserir, Material, 28/03/2017 01:56 AM, 23/06/2019 08:57 AM"
"Policy31, Forbidden, FAAO, Cersei_Lannister,Record, Documentos, 31/07/2017 10:47 PM, 14/11/2019 11:43 PM"
"Policy32, Obliged, Comite_Etica_Em_Pesquisa, Bilbo_Bolseiro,Record, Central_de_Copias, 11/12/2017 06:26 PM, 26/10/2019 02:15 AM"
"Policy33, Forbidden, Unidade_Gerencial, Vanessa_Souza,Efetivar, Biblioteca, 30/07/2017 07:50 AM, 20/02/2019 04:53 PM"
"Policy34, Obliged, Unidade_Gerencial, Jorge_Jesus,Criar, Materiais, 03/07/2017 10:14 PM, 19/03/2019 04:00 AM"
"Policy35, Permitted, UFAC, Arwen_Undomiel,Generate, MatriculaAluno, 18/12/2017 01:18 PM, 19/01/2019 12:59 PM"
"Policy36, Forbidden, IFAC, Professor,LancarMedia, ProcNURCADesp, 04/03/2017 11:43 PM, 21/09/2019 10:42 AM"
"Policy37, Forbidden, Estácio, Pro_Reitora_Academica,Matricular, IPTU, 07/11/2017 01:47 PM, 19/03/2019 05:59 PM"
"Policy38, Permitted, Unidade_Executiva, PROTOCOLIZADOR3,Solicitar, MatriculaAluno, 09/08/2017 06:12 PM, 20/07/2019 03:35 AM"
"Policy39, Permitted, CPA, Janaina_Souza,Cadastrar, Portal_do_Aluno, 27/10/2017 11:42 PM, 17/04/2019 02:29 AM"
